race_url,driver,fastest_lap
https://www.formula1.com/en/results/1973/races/320/sweden/race-result,Denny Hulme,1
https://www.formula1.com/en/results/1973/races/321/france/race-result,Denny Hulme,1
https://www.formula1.com/en/results/1973/races/322/great-britain/race-result,James Hunt,1
https://www.formula1.com/en/results/1973/races/323/netherlands/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1973/races/324/germany/race-result,Carlos Pace,1
https://www.formula1.com/en/results/1973/races/325/austria/race-result,Carlos Pace,1
https://www.formula1.com/en/results/1973/races/326/italy/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1973/races/327/canada/race-result,Emerson Fittipaldi,1
https://www.formula1.com/en/results/1973/races/328/united-states/race-result,James Hunt,1
https://www.formula1.com/en/results/1974/races/329/argentina/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1974/races/330/brazil/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1974/races/331/south-africa/race-result,Carlos Reutemann,1
https://www.formula1.com/en/results/1974/races/332/spain/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1974/races/333/belgium/race-result,Denny Hulme,1
https://www.formula1.com/en/results/1974/races/334/monaco/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1974/races/335/sweden/race-result,Patrick Depailler,1
https://www.formula1.com/en/results/1974/races/336/netherlands/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1974/races/337/france/race-result,Jody Scheckter,1
https://www.formula1.com/en/results/1974/races/338/great-britain/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1974/races/339/germany/race-result,Jody Scheckter,1
https://www.formula1.com/en/results/1974/races/340/austria/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1974/races/341/italy/race-result,Carlos Pace,1
https://www.formula1.com/en/results/1974/races/342/canada/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1974/races/343/united-states/race-result,Carlos Pace,1
https://www.formula1.com/en/results/1975/races/344/argentina/race-result,James Hunt,1
https://www.formula1.com/en/results/1975/races/345/brazil/race-result,Jean-Pierre Jarier,1
https://www.formula1.com/en/results/1975/races/346/south-africa/race-result,Carlos Pace,1
https://www.formula1.com/en/results/1975/races/347/spain/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1975/races/348/monaco/race-result,Patrick Depailler,1
https://www.formula1.com/en/results/1975/races/349/belgium/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1975/races/350/sweden/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1975/races/351/netherlands/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1975/races/352/france/race-result,Jochen Mass,1
https://www.formula1.com/en/results/1975/races/353/great-britain/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1975/races/354/germany/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1975/races/355/austria/race-result,Vittorio Brambilla,1
https://www.formula1.com/en/results/1975/races/356/italy/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1975/races/357/united-states/race-result,Emerson Fittipaldi,1
https://www.formula1.com/en/results/1976/races/358/brazil/race-result,Jean-Pierre Jarier,1
https://www.formula1.com/en/results/1976/races/359/south-africa/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1976/races/360/usa-west/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1976/races/361/spain/race-result,Jochen Mass,1
https://www.formula1.com/en/results/1976/races/362/belgium/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1976/races/363/monaco/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1976/races/364/sweden/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1976/races/365/france/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1976/races/366/great-britain/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1976/races/367/germany/race-result,Jody Scheckter,1
https://www.formula1.com/en/results/1976/races/368/austria/race-result,James Hunt,1
https://www.formula1.com/en/results/1976/races/369/netherlands/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1976/races/370/italy/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1976/races/371/canada/race-result,Patrick Depailler,1
https://www.formula1.com/en/results/1976/races/372/usa-east/race-result,James Hunt,1
https://www.formula1.com/en/results/1976/races/373/japan/race-result,Jacques Laffite,1
https://www.formula1.com/en/results/1977/races/374/argentina/race-result,James Hunt,1
https://www.formula1.com/en/results/1977/races/375/brazil/race-result,James Hunt,1
https://www.formula1.com/en/results/1977/races/376/south-africa/race-result,John Watson,1
https://www.formula1.com/en/results/1977/races/377/usa-west/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1977/races/378/spain/race-result,Jacques Laffite,1
https://www.formula1.com/en/results/1977/races/379/monaco/race-result,Jody Scheckter,1
https://www.formula1.com/en/results/1977/races/380/belgium/race-result,Gunnar Nilsson,1
https://www.formula1.com/en/results/1977/races/381/sweden/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1977/races/382/france/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1977/races/383/great-britain/race-result,James Hunt,1
https://www.formula1.com/en/results/1977/races/384/germany/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1977/races/385/austria/race-result,John Watson,1
https://www.formula1.com/en/results/1977/races/386/netherlands/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1977/races/387/italy/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1977/races/388/usa-east/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1977/races/389/canada/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1977/races/390/japan/race-result,Jody Scheckter,1
https://www.formula1.com/en/results/1978/races/391/argentina/race-result,Gilles Villeneuve,1
https://www.formula1.com/en/results/1978/races/392/brazil/race-result,Carlos Reutemann,1
https://www.formula1.com/en/results/1978/races/393/south-africa/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1978/races/394/usa-west/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1978/races/395/monaco/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1978/races/396/belgium/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1978/races/397/spain/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1978/races/398/sweden/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1978/races/399/france/race-result,Carlos Reutemann,1
https://www.formula1.com/en/results/1978/races/400/great-britain/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1978/races/401/germany/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1978/races/402/austria/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1978/races/403/netherlands/race-result,Niki Lauda,1
https://www.formula1.com/en/results/1978/races/404/italy/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1978/races/405/usa-east/race-result,Jean-Pierre Jarier,1
https://www.formula1.com/en/results/1978/races/406/canada/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1979/races/407/argentina/race-result,Jacques Laffite,1
https://www.formula1.com/en/results/1979/races/408/brazil/race-result,Jacques Laffite,1
https://www.formula1.com/en/results/1979/races/409/south-africa/race-result,Gilles Villeneuve,1
https://www.formula1.com/en/results/1979/races/410/usa-west/race-result,Gilles Villeneuve,1
https://www.formula1.com/en/results/1979/races/411/spain/race-result,Gilles Villeneuve,1
https://www.formula1.com/en/results/1979/races/412/belgium/race-result,Gilles Villeneuve,1
https://www.formula1.com/en/results/1979/races/413/monaco/race-result,Patrick Depailler,1
https://www.formula1.com/en/results/1979/races/414/france/race-result,Rene Arnoux,1
https://www.formula1.com/en/results/1979/races/415/great-britain/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1979/races/416/germany/race-result,Gilles Villeneuve,1
https://www.formula1.com/en/results/1979/races/417/austria/race-result,Rene Arnoux,1
https://www.formula1.com/en/results/1979/races/418/netherlands/race-result,Gilles Villeneuve,1
https://www.formula1.com/en/results/1979/races/419/italy/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1979/races/420/canada/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1979/races/421/usa-east/race-result,Nelson Piquet,1
https://www.formula1.com/en/results/1980/races/80/argentina/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1980/races/81/brazil/race-result,Rene Arnoux,1
https://www.formula1.com/en/results/1980/races/82/south-africa/race-result,Rene Arnoux,1
https://www.formula1.com/en/results/1980/races/83/usa-west/race-result,Nelson Piquet,1
https://www.formula1.com/en/results/1980/races/84/belgium/race-result,Jacques Laffite,1
https://www.formula1.com/en/results/1980/races/85/monaco/race-result,Carlos Reutemann,1
https://www.formula1.com/en/results/1980/races/86/france/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1980/races/87/great-britain/race-result,Didier Pironi,1
https://www.formula1.com/en/results/1980/races/88/germany/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1980/races/89/austria/race-result,Rene Arnoux,1
https://www.formula1.com/en/results/1980/races/90/netherlands/race-result,Rene Arnoux,1
https://www.formula1.com/en/results/1980/races/91/italy/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1980/races/92/canada/race-result,Didier Pironi,1
https://www.formula1.com/en/results/1980/races/93/usa-east/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1981/races/422/usa-west/race-result,Alan  Jones,1
https://www.formula1.com/en/results/1981/races/423/brazil/race-result,Marc Surer,1
https://www.formula1.com/en/results/1981/races/424/argentina/race-result,Nelson Piquet,1
https://www.formula1.com/en/results/1981/races/425/san-marino/race-result,Gilles Villeneuve,1
https://www.formula1.com/en/results/1981/races/426/belgium/race-result,Carlos Reutemann,1
https://www.formula1.com/en/results/1981/races/427/monaco/race-result,Alan  Jones,1
